time_sec,n1,n2,n3
142.188,0.120,-0.990,0.190
142.969,-0.180,-0.940,-0.050
143.750,-0.940,-0.760,-0.350
144.531,-1.040,-0.090,-0.260
145.312,-0.510,0.260,-0.490
146.094,-0.080,0.250,-0.860
146.875,-0.130,0.130,-0.600
147.656,-0.300,0.330,0.000
148.438,0.280,0.530,0.250
149.219,0.610,0.340,-0.050
150.000,0.760,-0.010,-0.510
150.781,0.580,-0.300,-0.520
151.562,0.180,-0.210,0.130
152.344,0.300,-0.240,0.570
153.125,-0.020,-0.430,0.440
153.906,-0.460,-0.260,0.570
154.688,-0.430,-0.110,0.760
155.469,-0.590,0.180,0.510
156.250,-0.490,0.590,-0.020
157.031,-0.060,0.420,-0.240
157.812,-0.040,0.060,-0.160
158.594,-0.170,0.150,-0.320
159.375,-0.080,0.280,-0.090
160.156,0.140,0.280,0.450
160.938,0.740,0.090,0.160
161.719,0.850,-0.460,-0.060
162.500,0.650,-0.940,0.120
163.281,0.130,-1.160,-0.050
164.062,-0.770,-0.930,-0.200
164.844,-1.300,0.040,-0.240
165.625,-0.950,1.170,-0.120
166.406,0.130,1.540,-0.030
167.188,1.290,1.020,-0.090
167.969,1.370,-0.060,-0.140
168.750,0.460,-0.720,-0.040
169.531,-0.340,-0.460,0.170
170.312,-0.540,-0.250,0.340
171.094,-0.740,-0.160,0.200
171.875,-0.910,0.220,-0.020
172.656,-0.760,0.620,-0.470
173.438,-0.310,0.860,-1.050
174.219,0.570,0.530,-1.000
175.000,0.920,-0.130,-0.560
175.781,0.970,-0.700,-0.160
176.562,-0.110,-0.660,0.180
177.344,-0.260,0.230,0.540
178.125,0.760,0.200,0.690
178.906,0.360,-0.560,0.810
179.688,-0.680,-0.410,0.670
180.469,-0.800,0.100,0.170
181.250,-0.150,0.120,0.060
182.031,0.410,-0.340,0.120
182.812,0.380,-0.860,0.090
183.594,-0.100,-0.780,0.230
184.375,-0.240,-0.510,0.510
185.156,-0.330,-0.160,0.370
185.938,-0.350,0.390,-0.390
186.719,-0.400,0.780,-0.500
187.500,-0.020,0.950,-0.270
188.281,0.010,0.790,0.010
189.062,0.260,0.740,0.530
189.844,1.050,0.260,0.300
190.625,0.910,-0.640,-0.200
191.406,0.220,-1.000,-0.710
192.188,-0.590,-0.930,-0.830
192.969,-1.090,-0.160,-0.670
193.750,-0.660,0.650,-0.190
194.531,0.270,0.680,0.290
195.312,0.300,0.660,0.000
196.094,0.390,0.610,-0.020
196.875,0.530,0.070,0.190
197.656,0.220,-0.480,-0.010
198.438,-0.330,-0.630,0.090
199.219,-0.510,-0.310,0.170
200.000,-0.330,-0.040,0.140
200.781,-0.020,0.100,0.160
201.562,0.390,-0.040,-0.250
202.344,0.120,-0.160,-0.350
203.125,-0.100,-0.090,-0.170
203.906,-0.610,0.150,-0.030
204.688,-0.570,0.680,-0.040
205.469,0.100,0.780,0.060
206.250,0.620,0.320,0.160
207.031,0.420,0.030,0.110
207.812,0.300,0.250,0.310
208.594,0.670,0.200,0.470
209.375,0.830,-0.470,0.470
210.156,0.060,-1.230,0.390
210.938,-1.040,-1.040,0.060
211.719,-1.160,-0.340,-0.320
212.500,-0.870,0.160,-0.210
213.281,0.060,0.160,-0.200
214.062,0.420,-0.240,-0.290
214.844,0.180,-0.400,-0.260
215.625,0.260,-0.280,0.100
216.406,0.520,-0.360,0.280
217.188,-0.130,-0.120,0.120
217.969,-0.010,0.450,0.110
218.750,0.250,0.250,0.330
219.531,0.120,0.010,0.160
220.312,0.030,0.060,-0.090
221.094,-0.140,0.220,0.240
221.875,-0.010,-0.040,0.190
222.656,-0.410,-0.130,0.100
223.438,-0.340,0.290,-0.310
224.219,-0.310,0.780,-0.440
225.000,0.010,0.950,-0.460
225.781,-0.030,0.950,-0.860
226.562,-0.080,1.350,-0.990
227.344,0.650,1.010,-0.600
228.125,1.190,-0.320,-0.040
228.906,0.620,-1.360,0.300
229.688,0.050,-1.540,0.510
230.469,-0.690,-1.400,0.430
231.250,-1.380,-0.600,0.440
232.031,-1.230,0.610,0.180
232.812,-0.430,1.150,-0.050
233.594,0.550,0.750,-0.270
234.375,0.620,0.240,-0.190
235.156,1.000,-0.240,0.080
235.938,1.050,-0.820,0.310
236.719,0.780,-1.090,0.510
237.500,-0.040,-1.210,0.530
238.281,-0.950,-0.480,0.620
239.062,-0.720,0.260,0.400
239.844,-0.650,0.460,0.350
240.625,-0.290,0.590,0.190
241.406,-0.090,0.190,-0.280
242.188,-0.260,0.040,-0.280
242.969,0.360,0.040,-0.490
243.750,0.310,-0.200,-0.620
244.531,0.030,-0.050,-0.530
245.312,-0.340,0.460,-0.190
246.094,0.080,1.090,0.340
246.875,1.070,0.850,0.010
247.656,1.120,-0.210,-0.010
248.438,0.410,-1.060,0.220
249.219,-0.740,-0.940,0.160
250.000,-1.040,-0.090,0.240
250.781,-0.650,0.380,0.280
251.562,-0.030,0.290,-0.240
252.344,-0.360,0.090,-0.710
253.125,-0.630,0.440,-0.650
253.906,0.080,0.550,-0.720
254.688,0.550,0.070,-0.460
255.469,0.840,-0.530,0.080
256.250,0.490,-0.640,-0.070
257.031,0.120,-0.260,0.270
257.812,0.280,-0.190,0.850
258.594,-0.150,-0.130,0.430
259.375,-0.540,0.260,0.200
260.156,-0.450,0.740,0.490
260.938,0.140,0.700,0.620
261.719,0.570,0.070,0.000
262.500,0.140,-0.520,-0.260
263.281,-0.270,-0.610,-0.170
264.062,-0.410,-0.220,-0.360
264.844,-0.430,0.080,-0.410
265.625,-0.420,0.380,-0.070
266.406,0.270,0.620,0.150
267.188,0.940,0.030,-0.050
267.969,0.460,-0.560,-0.040
268.750,0.040,-0.570,0.420
269.531,-0.170,-0.440,0.550
270.312,-0.470,-0.270,0.310
271.094,-0.810,-0.020,0.190
271.875,-0.790,0.410,0.120
272.656,-0.110,0.670,0.000
273.438,0.190,0.640,-0.470
274.219,0.290,0.870,-0.490
275.000,1.070,0.570,-0.440
275.781,1.290,-0.450,-0.690
276.562,0.810,-1.090,-0.130
277.344,0.410,-1.370,0.410
278.125,-0.640,-1.320,0.390
278.906,-1.580,-0.650,0.330
279.688,-1.240,0.540,0.180
280.469,-0.260,1.140,-0.010
281.250,0.370,1.000,-0.480
282.031,0.280,0.280,-0.440
282.812,-0.250,-0.130,-0.150
283.594,-0.500,0.170,-0.110
284.375,-0.100,0.590,-0.160
285.156,0.810,0.640,-0.570
285.938,1.320,0.020,-0.410
286.719,1.140,-0.790,0.200
287.500,0.030,-1.040,0.520
288.281,-0.580,-0.650,0.770
289.062,-0.680,-0.460,0.700
289.844,-1.110,0.170,0.250
290.625,-0.490,0.630,-0.090
291.406,0.010,0.380,-0.190
292.188,-0.180,0.220,-0.110
292.969,-0.150,0.350,0.250
293.750,0.450,0.520,0.230
294.531,1.150,0.080,-0.140
295.312,0.920,-0.700,-0.110
296.094,-0.030,-0.730,0.270
296.875,-0.510,-0.130,0.610
297.656,-0.730,0.600,0.500
298.438,-0.600,1.290,0.240
299.219,0.340,1.250,-0.400
300.000,0.610,0.230,-0.490
300.781,0.080,-0.280,-0.240
301.562,0.310,-0.590,-0.210
302.344,-0.110,-1.300,-0.180
303.125,-0.900,-0.910,-0.260
303.906,-0.720,-0.240,-0.070
304.688,-0.260,-0.040,-0.290
305.469,-0.100,0.020,-0.770
306.250,0.010,0.150,-0.970
307.031,0.680,-0.110,-0.660
307.812,0.800,-0.570,-0.360
308.594,0.780,-0.510,0.000
309.375,1.000,-0.420,0.560
310.156,0.810,-0.500,0.770
310.938,-0.170,-0.500,0.730
311.719,-1.140,0.090,0.660
312.500,-1.400,0.800,0.650
313.281,-1.310,1.190,0.590
314.062,-1.000,1.530,0.210
314.844,-0.130,1.450,-0.020
315.625,0.940,0.630,-0.180
316.406,0.990,-0.370,-0.540
317.188,0.060,-0.810,-0.560
317.969,-0.440,-0.130,-0.420
318.750,0.210,0.570,-0.100
319.531,0.860,0.290,0.080
320.312,0.970,-0.270,0.520
321.094,1.010,-0.710,0.660
321.875,0.620,-1.060,0.270
322.656,-0.560,-1.240,0.490
323.438,-1.420,-0.530,0.730
324.219,-1.250,0.430,0.240
325.000,-0.850,0.880,-0.590
325.781,-0.340,0.810,-0.970
326.562,-0.100,0.380,-0.670
327.344,0.420,0.170,-0.440
328.125,0.920,-0.210,-0.600
328.906,0.640,-0.330,-0.250
329.688,0.880,-0.360,0.130
