cut_idx,horizon,model,RMSE,MAE,sMAPE,N_true,Hmean_true,Hmax_true,Hs_true,Tz_true,N_pred,Hmean_pred,Hmax_pred,Hs_pred,Tz_pred
500,5,Persistence,0.16798809481626964,0.158,1.6902255639097745,0,,,,,0,,,,
500,5,ARIMA,0.15621051259940333,0.14723378363317222,1.6820030305642724,0,,,,,0,,,,
500,5,ETS,0.1679880957973323,0.1580000010430813,1.6902255657224443,0,,,,,0,,,,
501,5,Persistence,0.13498148021117565,0.12600000000000003,1.8857142857142857,0,,,,,0,,,,
501,5,ARIMA,0.12949591782152123,0.12099429731099584,1.8828114431925467,0,,,,,0,,,,
501,5,ETS,0.13498148118485387,0.12600000104308356,1.8857142874172794,0,,,,,0,,,,
502,5,Persistence,0.11506519890914021,0.10800000000000001,2.0,0,,,,,0,,,,
502,5,ARIMA,0.11414902609071519,0.10716366229537873,2.0,0,,,,,0,,,,
502,5,ETS,0.11506519960845045,0.10800000074505807,2.0,0,,,,,0,,,,
503,5,Persistence,0.09121403400793103,0.08399999999999999,0.9714821813893021,0,,,,,0,,,,
503,5,ARIMA,0.09488805381865453,0.08734676090393138,1.031226320702341,0,,,,,0,,,,
503,5,ETS,0.09121403469406315,0.08400000074505806,0.971482195334068,0,,,,,0,,,,
504,5,Persistence,0.07861297602813418,0.074,0.6693761140819964,0,,,,,0,,,,
504,5,ARIMA,0.08499144057001418,0.07985064457911124,0.7431568368780346,0,,,,,0,,,,
504,5,ETS,0.07861297644893747,0.07400000044703511,0.6693761197011058,0,,,,,0,,,,
505,5,Persistence,0.056035702904487596,0.054000000000000006,0.41958132045088564,0,,,,,0,,,,
505,5,ARIMA,0.06473821695924543,0.06234216570657133,0.5019643391435329,0,,,,,0,,,,
505,5,ETS,0.056035703335282294,0.05400000044703488,0.4195813247143073,0,,,,,0,,,,
506,5,Persistence,0.02863564212655271,0.026000000000000002,0.17980952380952378,0,,,,,0,,,,
506,5,ARIMA,0.036442381920702274,0.03281449708546824,0.23454671231661664,0,,,,,0,,,,
506,5,ETS,0.02863564246999766,0.026000000268220913,0.179809525842391,0,,,,,0,,,,
507,5,Persistence,0.0363318042491699,0.028000000000000004,0.21618357487922707,0,,,,,0,,,,
507,5,ARIMA,0.029010991892136746,0.025702046034955583,0.20089452169539337,0,,,,,0,,,,
507,5,ETS,0.03633180415073602,0.02800000005960468,0.21618357531519977,0,,,,,0,,,,
508,5,Persistence,0.07127411872482185,0.05600000000000001,0.45614733542319746,0,,,,,0,,,,
508,5,ARIMA,0.05641844307248342,0.0438866828560885,0.3914684834810229,0,,,,,0,,,,
508,5,ETS,0.07127411849066533,0.05599999982118607,0.45614733453289824,0,,,,,0,,,,
509,5,Persistence,0.09486832980505139,0.084,0.7361473354231975,0,,,,,0,,,,
509,5,ARIMA,0.07947184465073161,0.06994906835218373,0.6712325788335426,0,,,,,0,,,,
509,5,ETS,0.09486832980505139,0.084,0.7361473354231975,0,,,,,0,,,,
510,5,Persistence,0.09197825830053534,0.086,0.8644291889143148,0,,,,,0,,,,
510,5,ARIMA,0.07855269831727625,0.07357480579915177,0.8010303172366051,0,,,,,0,,,,
510,5,ETS,0.09197825857918811,0.08600000029802321,0.8644291904502875,0,,,,,0,,,,
