timestamp_utc,time,Hm0,Hmax,Hsw,Tp,Tsw,Tm01,Tm02,Tm10,Tavg,Tmax,Dirp,Dirm,Dirsw,Sigp,Sigm,Uw,Uwdir,lat,lon,sst,VBAT,VSOL,TEMP,HUM,PRES,CSQ,RAT,oper,source,invalid,tstr,tstrlocal
2025-07-13 13:30:00,1752413400,3.39,33.82,3.32,20.48,20.48,17.06,15.64,18.41,7.47,19.36,253.72,246.85,253.72,52.89,64.58,1.12,263.20,0.00,0.00,0,4.23,4.33,24.48,56.47,110.52,16,7,Vivo,gsm,0,2025-07-13 13:30:00 [UTC],2025-07-13 10:30:00 [UTC-3]
2025-07-13 14:00:00,1752415200,3.71,8.86,3.67,20.48,20.48,18.89,17.88,19.66,8.64,20.48,180.87,170.53,180.87,51.35,55.97,0.19,240.41,0.00,0.00,0,4.21,4.31,25.37,53.32,110.70,14,7,Vivo,gsm,0,2025-07-13 11:00:00 [UTC-3],2025-07-13 11:00:00 [UTC-3]
2025-07-13 14:30:00,1752417000,3.07,16.20,2.98,18.20,18.20,14.85,13.46,16.32,8.74,16.16,83.12,76.12,83.12,61.80,67.84,1.28,222.82,-23.01,-43.25,0,4.20,8.34,26.17,53.17,111.10,13,7,Vivo,gsm,0,2025-07-13 11:30:00 [UTC-3],2025-07-13 11:30:00 [UTC-3]
2025-07-13 15:00:00,1752418800,0.78,1.18,0.64,10.24,10.24,8.02,6.08,10.31,5.96,12.64,158.10,147.27,158.10,40.49,49.13,0.26,143.24,-23.01,-43.25,0,4.18,8.06,29.07,50.94,112.20,15,7,Vivo,gsm,0,2025-07-13 12:00:00 [UTC-3],2025-07-13 12:00:00 [UTC-3]
2025-07-13 15:30:00,1752420600,0.78,1.24,0.62,10.24,10.24,7.76,5.87,10.00,5.82,10.88,158.40,148.67,158.40,41.41,50.55,0.30,149.61,-23.01,-43.25,0,4.14,7.87,30.92,48.78,112.91,14,7,Vivo,gsm,0,2025-07-13 12:30:00 [UTC-3],2025-07-13 12:30:00 [UTC-3]
2025-07-13 16:00:00,1752422400,0.75,1.14,0.60,10.92,10.92,7.79,5.96,9.97,6.29,11.04,163.71,162.38,163.71,42.14,49.82,0.26,169.45,-23.01,-43.25,0,4.15,7.83,31.61,46.67,113.04,14,7,Vivo,gsm,0,2025-07-13 13:00:00 [UTC-3],2025-07-13 13:00:00 [UTC-3]
2025-07-13 16:30:00,1752424200,0.79,1.21,0.63,11.70,11.70,8.17,6.48,10.14,6.24,11.20,169.50,166.07,169.50,37.64,46.61,0.36,162.94,-23.01,-43.25,0,4.16,7.87,30.36,47.91,112.65,13,7,Vivo,gsm,0,2025-07-13 13:30:00 [UTC-3],2025-07-13 13:30:00 [UTC-3]
2025-07-13 17:00:00,1752426000,0.73,1.10,0.55,11.70,11.70,7.05,5.15,9.67,5.61,11.52,180.83,170.69,180.83,38.46,51.94,0.17,161.03,-23.01,-43.25,0,4.15,7.82,28.73,47.46,111.81,12,7,Vivo,gsm,0,2025-07-13 14:00:00 [UTC-3],2025-07-13 14:00:00 [UTC-3]
2025-07-13 17:30:00,1752427800,0.79,1.43,0.61,10.92,10.92,6.87,5.06,9.60,5.45,11.52,171.25,161.37,171.25,45.38,52.21,0.32,169.72,0.00,0.00,0,4.15,7.86,27.41,49.32,111.37,15,7,Vivo,gsm,0,2025-07-13 14:30:00 [UTC-3],2025-07-13 14:30:00 [UTC-3]
2025-07-13 18:00:00,1752429600,0.78,1.30,0.59,10.24,10.24,6.62,4.97,9.36,5.14,12.00,173.02,162.14,173.02,46.33,53.54,0.25,160.67,-23.01,-43.25,0,4.15,7.63,26.48,49.89,110.99,12,7,Vivo,gsm,0,2025-07-13 15:00:00 [UTC-3],2025-07-13 15:00:00 [UTC-3]
