horizon,model,RMSE,MAE,sMAPE,Hs_relerr_pct_mean,Tz_relerr_pct_mean
5,LSTM,0.1257293433107,0.11545163716062565,0.934251081326718,,
5,Persistence,0.18585277899394417,0.16727272727272727,1.0879122507536898,,
