cut_idx,horizon,model,RMSE,MAE,sMAPE,N_true,Hmean_true,Hmax_true,Hs_true,Tz_true,N_pred,Hmean_pred,Hmax_pred,Hs_pred,Tz_pred
1500,5,LSTM,0.19920322923657044,0.19843527808785438,1.2579388553248443,0,,,,,0,,,,
1500,5,Persistence,0.16358484037342824,0.16,0.878458609867778,0,,,,,0,,,,
1501,5,LSTM,0.10919596700151811,0.10708842766284946,0.579472336192441,0,,,,,0,,,,
1501,5,Persistence,0.06308724118235003,0.05800000000000002,0.24516103091954494,0,,,,,0,,,,
1502,5,LSTM,0.07394497695722967,0.0700996626019478,0.42033988513187764,0,,,,,0,,,,
1502,5,Persistence,0.09736529155710469,0.072,0.34026025171108976,0,,,,,0,,,,
1503,5,LSTM,0.045885514095148,0.03496405720710753,0.37436613046741946,0,,,,,0,,,,
1503,5,Persistence,0.16769019053003667,0.13999999999999999,0.7272615899998615,0,,,,,0,,,,
1504,5,LSTM,0.05830243885787255,0.04584015980362892,0.7371013317432636,0,,,,,0,,,,
1504,5,Persistence,0.21456933611306162,0.18800000000000003,1.0731338149294805,0,,,,,0,,,,
1505,5,LSTM,0.11803268228247012,0.10541153211891649,1.2109804115711729,0,,,,,0,,,,
1505,5,Persistence,0.2389979079406345,0.21200000000000002,1.3535757575757574,0,,,,,0,,,,
1506,5,LSTM,0.1473088144627921,0.14022107882797719,1.5965270173437154,0,,,,,0,,,,
1506,5,Persistence,0.25031979546172534,0.22600000000000003,1.619493177387914,0,,,,,0,,,,
1507,5,LSTM,0.11877804523368235,0.10914912603236734,1.3168841477984077,0,,,,,0,,,,
1507,5,Persistence,0.24580480060405657,0.22599999999999998,1.8666666666666665,0,,,,,0,,,,
1508,5,LSTM,0.13581248024794768,0.12674565127585083,1.1517334415071636,0,,,,,0,,,,
1508,5,Persistence,0.22614154859291116,0.21000000000000002,2.0,0,,,,,0,,,,
1509,5,LSTM,0.15279306351590538,0.13278612303733825,0.6760788339737875,0,,,,,0,,,,
1509,5,Persistence,0.20189105973271823,0.188,1.1701394016421554,0,,,,,0,,,,
1510,5,LSTM,0.22376556452656352,0.19922691211104393,0.9553395035398043,0,,,,,0,,,,
1510,5,Persistence,0.174928556845359,0.15999999999999998,0.6928844575903398,0,,,,,0,,,,
